id,context,question,option_a,option_b,option_c,option_d,correct_answer
395,"O structură nu poate conține o instanță a ei însăși, dar poate conține un pointer către ea.",Ce poate conține o structură auto-referențiată?,O funcție membră,O variabilă de tip extern,O copie completă a propriei instanțe,Un pointer către propria instanță,D
396,Definirea unei structuri nu alocă memorie; memoria este alocată doar atunci când este declarată o variabilă de acel tip.,Când se alocă memorie pentru o structură?,La rularea programului,La definirea structurii,Când se declară o variabilă de tip structură,La compilare,C
397,Eticheta unei structuri este un identificator care permite reutilizarea acelei structuri ulterior.,Care este rolul etichetei unei structuri?,Permite definirea ulterioară de variabile de acel tip,Determină dimensiunea structurii,Face structura globală,Inițializează automat variabilele din structură,A
398,Operatorul punct (.) este folosit pentru accesarea membrilor unei structuri prin variabilă directă.,Cum se accesează membrii unei structuri printr-o variabilă?,Cu operatorul *,Cu operatorul ->,Cu operatorul &,Cu operatorul .,D
399,Operatorul săgeată (->) este folosit pentru accesarea membrilor unei structuri prin pointer.,Ce operator se folosește pentru accesarea membrilor unei structuri prin pointer?,Operatorul &,Operatorul ->,Operatorul .,Operatorul sizeof,B
400,Expresia one_card.suit este echivalentă cu (*card_ptr).suit.,Care expresie este echivalentă cu one_card.suit?,(card_ptr)->rank,&card_ptr.suit,one_card->suit,(*card_ptr).suit,D
401,Structurile pot fi transmise funcțiilor ca parametri prin valoare sau prin adresă (referință).,Cum pot fi transmise structurile către funcții?,Doar prin valoare,Numai ca pointeri const,Doar prin referință,Prin valoare sau prin referință (adresă),D
402,Transmiterea unei structuri prin valoare copiază întreaga structură în funcția apelată.,Ce se întâmplă când o structură este transmisă prin valoare?,Se copiază întreaga structură în funcția apelată,Se transmite un pointer constant,Se transmite doar primul membru,Se transmite doar adresa structurii,A
403,Cuvântul cheie typedef permite crearea de sinonime pentru tipurile de date existente.,Ce permite cuvântul cheie typedef?,Crearea de funcții noi,Crearea de sinonime pentru tipuri de date existente,Alocarea dinamică a memoriei,Conversia automată a tipurilor,B
404,O uniune este un tip de date în care toți membrii partajează aceeași zonă de memorie.,Ce caracterizează o uniune în C?,Toți membrii au valori independente,Toți membrii au dimensiuni diferite în memorie,Fiecare membru are propria adresă de memorie,Toți membrii partajează aceeași zonă de memorie,D
405,Dimensiunea unei uniuni este determinată de dimensiunea celui mai mare membru.,Cum este determinată dimensiunea unei uniuni?,"De compilator, în funcție de sistemul de operare",De dimensiunea celui mai mare membru al uniunii,Prin suma dimensiunilor membrilor,Prin numărul de membri ai uniunii,B
406,"La un moment dat, doar un singur membru al unei uniuni poate conține o valoare validă.",Câți membri ai unei uniuni pot fi accesați simultan?,Niciunul,Doar unul,Toți membrii,Depinde de tipurile de date,B
407,"Uniunile se declară similar cu structurile, folosind cuvântul cheie union.",Ce cuvânt cheie se folosește pentru a declara o uniune?,class,typedef,struct,union,D
408,Uniunile pot fi inițializate doar cu o valoare de același tip ca primul membru.,Cu ce tip de valoare poate fi inițializată o uniune?,Doar pointeri,Orice tip de date,Doar valori numerice,Un tip compatibil cu primul membru al uniunii,D
409,Uniunile nu pot fi comparate direct folosind operatorii == sau !=.,Ce operație NU este permisă asupra uniunilor?,Asignarea între uniuni de același tip,Compararea directă cu operatorii == sau !=,Inițializarea primului membru,Accesarea membrilor cu operatorul .,B
410,Enumerările definesc mulțimi de constante întregi identificate prin nume.,Ce reprezintă o enumerare în C?,O colecție de funcții,O mulțime de constante întregi cu nume simbolice,O structură care stochează șiruri de caractere,O listă de variabile globale,B
411,"Valorile dintr-o enumerare încep de la 0 și cresc cu 1, dacă nu se specifică altfel.",Care este valoarea implicită de start într-o enumerare?,Depinde de compilator,0,-1,1,B
412,Se pot specifica valori personalizate pentru identificatorii unei enumerări.,Este posibil să atribuim valori explicite elementelor unei enumerări?,"Nu, valorile sunt întotdeauna implicite",Numai pentru valorile negative,Numai pentru primul element,"Da, prin atribuirea valorilor dorite în definiție",D
413,"Identificatorii unei enumerări pot fi folosiți direct în expresii, fiind tratați ca numere întregi.",Cum sunt tratați identificatorii unei enumerări în C?,Ca variabile globale,Ca pointeri,Ca valori întregi,Ca șiruri de caractere,C
414,Structurile și uniunile nu pot fi comparate direct folosind operatorii == sau !=.,Ce au în comun structurile și uniunile?,Ambele sunt tipuri de date primare,Ambele se stochează în același spațiu de memorie,Ambele nu pot fi comparate cu operatorii == sau !=,Ambele permit compararea directă,C
415,"Operatorii . și -> sunt folosiți atât pentru structuri, cât și pentru uniuni.",Ce operatori se folosesc pentru accesarea membrilor unei uniuni?,Operatorii . și ->,Doar operatorul ->,Doar operatorul .,Operatorul &,A
416,"Tipul de date derivat 'struct' permite definirea de colecții de variabile eterogene, în timp ce 'union' permite stocarea mai multor tipuri în aceeași zonă de memorie.",Care este diferența principală dintre structuri și uniuni?,Structurile sunt întotdeauna statice,"Uniunile pot fi comparate direct, structurile nu","Structurile pot conține pointeri, uniunile nu","Structurile alocă memorie pentru fiecare membru, uniunile partajează aceeași zonă de memorie",D
417,"Tipurile de date definite de utilizator, precum struct, union și enum, extind limbajul C.","Cum sunt considerate structurile, uniunile și enumerările în C?",Tipuri de date definite de utilizator,Funcții predefinite,Directive ale preprocesorului,Tipuri de date primitive,A
418,"Un membru pointer într-o structură poate fi folosit pentru a crea legături între elemente, cum ar fi într-o listă înlănțuită.",Ce rol poate avea un pointer în interiorul unei structuri?,Determină dimensiunea structurii,Asigură compararea structurii,Înlocuiește operatorii de acces,"Permite legături între structuri, creând structuri dinamice",D
419,Operatorul sizeof poate fi folosit pentru a determina amprenta de memorie a unei structuri.,Cum se poate determina dimensiunea unei structuri?,Cu operatorul sizeof,Prin calcul manual al membrilor,Cu operatorul &,Folosind funcția strlen(),A
420,Enumerările pot fi folosite pentru a face codul mai lizibil și ușor de întreținut.,Care este principalul avantaj al utilizării enumerărilor?,Reduc consumul de memorie,Optimizează timpii de execuție,Îmbunătățesc lizibilitatea și întreținerea codului,Permit acces direct la adrese de memorie,C
421,"Limbajul C oferă facilități I/O prin librăria standard, care include funcții pentru citirea și scrierea datelor.",Prin ce se realizează operațiile de intrare-ieșire în C?,Prin sistemul de operare,Prin compilator,Prin fișierele antet math.h,Prin librăria standard de I/O,D
422,Fișierul antet <stdio.h> conține prototipurile funcțiilor pentru manipularea fluxurilor de date.,Ce conține fișierul antet <stdio.h>?,Funcții de alocare dinamică a memoriei,Prototipurile funcțiilor pentru lucrul cu stream-uri I/O,Instrucțiuni de preprocesare,Definițiile structurilor matematice,B
423,Un flux (stream) de date poate fi o sursă de intrare sau o destinație de ieșire.,Ce reprezintă un flux (stream) în C?,Un fișier binar,Un șir de caractere,O sursă sau o destinație de date pentru intrare/ieșire,Un buffer de memorie,C
424,"Fișierele permit stocarea permanentă a datelor, spre deosebire de variabilele temporare.",De ce sunt necesare fișierele în programare?,Pentru testarea codului sursă,Pentru stocarea permanentă a datelor,Pentru a permite calcul paralel,Pentru accelerarea procesorului,B
425,"Constanta simbolică EOF (end of file) este definită în <stdio.h> și are, de obicei, valoarea -1.","Ce valoare are, de regulă, constanta EOF?",-1,1,0,,A
426,"La pornirea oricărui program C sunt deschise trei fluxuri standard: stdin, stdout și stderr.",Care sunt cele trei fluxuri standard în C?,"read, write, log","stdin, stdout, stderr","file_in, file_out, console","in, out, error",B
427,Structura FILE este definită în <stdio.h> și conține informații necesare gestionării fișierelor.,Ce tip de structură este FILE?,O structură care gestionează stream-urile de fișiere,O structură de date pentru stocarea șirurilor,Un tip primitiv al limbajului C,O structură pentru conversia tipurilor de date,A
428,Funcția fopen() deschide un fișier și returnează un pointer la FILE.,Ce returnează funcția fopen()?,Dimensiunea fișierului,Un întreg ce reprezintă codul fișierului,Un pointer la structura FILE,Un șir de caractere,C
429,"Dacă funcția fopen() eșuează, valoarea returnată este NULL.",Ce valoare returnează fopen() dacă nu reușește să deschidă fișierul?,,EOF,-1,0,A
430,Modul 'r' este folosit pentru deschiderea fișierului în mod citire.,Ce înseamnă modul 'r' în fopen()?,Deschidere în mod binar,Deschidere pentru citire,Deschidere pentru scriere,Deschidere pentru adăugare,B
431,"Modul 'w' din fopen() deschide fișierul pentru scriere, ștergând conținutul existent.",Ce efect are deschiderea unui fișier în modul 'w'?,Conținutul existent este șters și fișierul este rescris,Fișierul este blocat pentru alte procese,Fișierul este deschis doar pentru citire,Datele sunt adăugate la final,A
432,Funcția fclose() închide un fișier deschis anterior.,Ce face funcția fclose()?,Șterge fișierul de pe disc,Închide fișierul și eliberează resursele asociate,Redenumește fișierul,Returnează dimensiunea fișierului,B
433,Funcția fclose() returnează 0 la succes și EOF în caz de eroare.,Ce valoare returnează fclose() dacă închiderea fișierului eșuează?,-2,1,EOF,0,C
434,"Funcția remove() șterge un fișier, iar rename() îi poate schimba numele.",Ce fac funcțiile remove() și rename()?,Copiază conținutul unui fișier,Șterg și redenumesc fișiere,Convertesc fișiere binare în text,Deschid și închid fișiere,B
435,"Fișierele pot fi deschise și pentru acces binar folosind moduri precum 'rb', 'wb', 'ab'.",Ce înseamnă modul 'rb' în fopen()?,Deschidere fișier text pentru scriere,Deschidere fișier binar pentru citire,Deschidere fișier binar pentru adăugare,Deschidere fișier binar pentru scriere,B
